CBO;DIT;FanIn ;FanOut ;LCOM;NOC;RFC;WMC;LOC;Attributes ;AttributesInherited ;Methods ;MethodsInherited ;Bugs 
9;2;1;9;15;0;34;20;122;1;8;6;19;0
1;1;1;0;0;0;1;1;4;2;0;1;8;0
114;1;102;18;190;6;156;176;484;131;249;20;8;1
5;6;1;4;10;0;18;12;33;0;61;5;207;0
23;2;1;22;820;0;174;115;673;7;416;41;8;0
2;1;1;1;1;0;4;2;16;12;0;2;8;0
6;4;2;4;78;0;46;23;87;4;96;13;88;0
2;1;2;0;1;0;2;2;9;4;0;2;8;0
11;3;2;9;105;0;50;64;250;9;119;15;40;0
4;3;3;1;6;1;5;3;9;3;3;4;17;0
6;2;3;4;105;0;51;25;95;5;95;15;68;0
8;2;4;4;15;0;14;10;42;6;0;6;23;0
5;7;1;4;3;0;22;14;42;0;397;3;124;0
12;3;4;8;78;0;125;93;387;16;143;13;40;0
1;2;1;0;136;0;18;19;53;15;2;17;41;0
4;2;3;1;3;0;4;4;14;2;0;3;15;0
63;3;36;33;351;2;172;148;624;30;391;27;42;3
1;1;1;1;6;1;5;6;20;1;0;4;8;0
1;2;1;0;1;2;2;0;0;0;5;2;19;0
36;2;18;23;190;2;244;276;1126;12;3;20;13;1
4;1;1;3;45;0;34;17;52;1;0;10;17;0
6;3;3;3;3;0;8;4;16;2;1;3;31;0
18;6;3;15;91;3;61;29;127;0;53;14;170;1
22;4;5;17;136;5;191;166;494;13;384;17;77;4
2;2;2;0;0;0;2;1;3;0;0;1;43;0
27;2;7;20;210;4;171;212;795;6;133;21;46;3
21;7;1;20;55;0;220;156;591;2;448;11;115;2
9;3;1;8;45;0;40;39;166;7;126;10;44;0
3;1;0;3;45;0;40;37;144;4;0;10;8;0
108;3;92;18;528;15;281;234;760;4;380;33;38;0
5;3;3;3;10;1;12;13;35;1;13;5;55;0
3;2;1;2;10;0;55;15;72;3;0;5;22;0
7;6;5;3;15;2;17;12;52;2;385;6;95;0
5;2;5;0;66;0;14;27;55;16;152;12;41;0
7;4;1;6;28;0;47;53;214;15;61;8;45;1
5;6;1;4;3;0;17;11;32;0;394;3;102;0
5;3;1;5;105;0;51;25;96;5;95;15;73;0
6;5;1;5;78;0;22;20;56;1;62;13;202;0
55;3;44;15;105;0;93;110;378;12;274;15;103;1
31;1;24;7;190;0;72;72;245;24;0;20;8;1
5;2;2;3;300;0;130;56;258;13;2;25;41;0
14;4;4;11;703;0;162;94;419;14;50;38;185;0
11;3;0;11;15;0;106;91;343;11;380;6;38;0
3;5;1;2;10;0;12;7;34;0;58;5;179;0
3;6;1;2;21;0;14;11;39;1;384;7;79;0
1;7;1;0;15;0;10;6;21;1;419;6;118;0
6;2;3;4;136;0;54;68;197;7;119;17;16;0
1;4;1;0;0;0;1;0;0;0;7;1;28;0
5;1;2;3;55;2;29;21;81;7;0;11;28;0
6;5;4;2;10;1;13;16;45;1;388;5;78;0
55;4;32;32;1275;1;446;456;1461;15;49;51;148;6
14;3;1;13;15;0;51;36;167;3;19;6;67;0
13;1;8;6;45;1;53;53;151;2;0;10;8;0
1;1;1;0;3;0;3;3;11;1;0;3;8;0
3;3;1;2;3;0;7;8;27;1;3;3;17;0
15;3;8;9;595;0;156;81;319;23;97;35;84;0
2;5;1;2;10;0;10;15;50;2;61;5;49;1
3;7;1;2;28;0;10;8;25;0;398;8;107;0
8;3;2;7;28;0;24;25;69;2;52;8;27;1
5;1;1;4;36;0;30;31;109;3;0;9;16;0
35;1;32;3;55;16;16;21;85;0;0;11;8;0
7;6;2;5;10;0;24;11;35;0;385;5;95;0
16;1;11;5;10;0;18;22;62;3;0;5;8;0
13;2;1;13;15;0;58;30;207;1;8;6;19;0
3;1;1;2;36;0;24;25;83;4;0;9;8;0
7;2;4;3;6;17;10;5;18;4;0;4;22;0
19;3;0;19;15;0;172;84;451;21;380;6;38;2
1;1;1;0;55;1;11;11;43;0;0;11;8;0
13;2;1;12;1;0;42;29;166;0;270;2;48;1
8;2;1;7;28;0;85;63;264;7;141;8;35;0
6;3;1;5;6;0;24;49;107;2;135;4;67;0
11;4;6;6;15;0;18;18;64;2;49;6;148;0
17;3;2;15;21;0;49;20;83;2;25;7;82;0
8;1;3;5;10;1;37;48;140;10;0;5;8;1
8;5;0;8;21;0;39;18;70;2;412;7;94;1
1;2;1;0;1;0;2;4;11;3;0;2;11;0
5;2;1;4;10;0;12;7;27;4;0;5;22;0
4;3;1;3;66;0;35;16;59;3;95;12;73;0
1;4;1;0;0;0;1;0;0;5;6;1;21;0
2;4;1;1;3;0;5;3;12;0;410;3;66;0
20;2;20;0;10;5;10;10;35;7;380;5;27;0
11;2;2;9;45;0;51;34;108;8;0;10;18;0
3;1;2;1;3;0;5;7;25;5;0;3;8;0
9;3;1;8;10;0;34;30;90;0;22;5;78;0
11;1;1;10;55;0;89;80;377;1;0;11;8;2
6;1;6;0;1;5;2;0;0;0;0;2;8;0
4;2;1;3;10;2;13;6;23;2;141;5;35;0
4;3;2;2;36;0;19;9;31;1;95;9;75;0
6;7;2;4;3;2;12;8;30;2;419;3;115;0
9;3;8;1;28;2;14;11;31;1;380;8;38;0
5;1;1;5;10;0;28;25;140;11;0;5;16;0
6;3;1;5;91;0;48;22;86;5;95;14;73;0
4;2;1;4;21;0;18;25;67;1;68;7;33;1
20;6;4;18;378;1;126;57;222;1;69;28;227;0
28;2;1;28;36;0;149;56;423;4;17;9;19;0
2;2;1;1;1;0;3;3;10;0;219;2;55;1
4;3;1;3;6;0;9;7;33;5;1;4;31;0
6;3;1;6;171;0;72;38;136;10;95;19;73;0
6;4;1;5;3;0;18;14;41;0;393;3;61;0
6;1;1;5;1;0;38;24;131;1;114;2;9;0
8;5;1;7;45;0;70;47;210;5;55;10;171;0
7;3;4;4;10;1;13;6;34;1;37;5;72;0
38;4;17;23;28;5;105;87;241;4;396;8;57;0
6;1;3;3;15;0;34;31;116;9;0;6;8;0
5;3;1;4;91;0;49;24;98;5;95;14;73;0
2;4;1;1;3;0;7;4;17;1;61;3;45;1
12;2;1;11;105;0;88;35;163;5;0;15;19;0
22;3;7;15;630;0;210;246;724;23;8;36;37;0
10;2;3;7;28;0;25;12;46;1;0;8;18;0
11;4;1;11;55;1;34;22;63;0;52;11;127;0
6;2;1;6;105;0;50;23;91;5;95;15;68;0
8;1;7;1;45;0;12;14;34;4;0;10;8;0
3;2;1;2;120;0;43;31;123;5;11;16;18;1
7;1;4;4;15;0;16;19;56;3;0;6;8;0
13;1;9;4;1;1;11;5;14;6;0;2;23;0
6;3;1;5;91;0;54;27;106;5;95;14;73;0
6;1;2;5;78;0;67;102;393;10;0;13;8;0
4;3;1;3;28;0;23;13;50;7;1;8;36;0
16;4;3;13;15;0;75;56;195;2;384;6;69;0
1;3;1;0;1;0;5;2;9;0;384;2;31;0
3;2;3;0;66;0;14;12;37;1;152;12;41;0
5;2;1;5;36;0;30;44;124;1;68;9;33;0
3;2;3;0;3;6;3;2;6;1;2;3;14;0
0;7;0;0;1;0;2;2;7;2;388;2;87;0
1;2;1;1;21;0;17;25;74;2;68;7;33;0
